time_s,joint_pos_rad,joint_vel_rad_s,pos_error_rad,iq_cmd_a,iq_ref_a,iq_actual_a,motor_output_torque_nm,friction_torque_nm,net_torque_nm
0,1.34579866207077e-06,0.0269159732414155,0.2,2.48737770999582,2,0.751543132702861,0.712783004992351,-0.0020638267429,0.714846831735251
5e-05,4.82736452921075e-06,0.0696313173427995,0.199998654201338,2.48056882428122,2,1.22067772524931,1.15772242373005,0.0232686135898477,1.1344538101402
0.0001,1.09599549619209e-05,0.122651808654204,0.199995172635471,2.46974646236897,2,1.51352487712493,1.43546626015718,0.0273235973949575,1.40814266276223
0.00015,2.0068776520871e-05,0.182176431179002,0.199989040045038,2.45629066345964,2,1.6963283960387,1.60884186012564,0.027959480713252,1.58088237941239
0.0002,3.23563491882856e-05,0.245751453348291,0.199979931223479,2.44115655558796,2,1.81043955031569,1.71706783932683,0.0286130779999583,1.68845476132687
0.00025,4.79485461243823e-05,0.311843938721935,0.199967643650812,2.42496081029205,2,1.88167097741184,1.78462557280367,0.0293108625720387,1.75531471023163
0.0003,6.69233952744977e-05,0.379496983002308,0.199952051453876,2.40808869304893,2,1.92613565957463,1.82679703095277,0.0300362775033687,1.7967607534494
0.00035,8.93290584651086e-05,0.448113263812217,0.199933076604726,2.39078070476053,2,1.95389177847379,1.85312165421786,0.0307788207457853,1.82234283347207
0.0004,0.000115195054467506,0.517319920047952,0.199910670941535,2.37318697857773,2,1.97121793709837,1.86955423256501,0.0315319362364037,1.83802229632861
0.00045,0.000144539264753163,0.586884205713132,0.199884804945533,2.35540123752523,2,1.98203341795774,1.87981191520746,0.0322915315430836,1.84752038366438
0.0005,0.000177372306685337,0.656660838643492,0.199855460735247,2.33748199182069,2,1.98878474863374,1.88621505237622,0.0330550521027798,1.85316000027344
0.00055,0.000213700263389529,0.726559134083827,0.199822627693315,2.31946577084406,2,1.99299912120667,1.89021207266152,0.0338209033340442,1.85639116932747
0.0006,0.000253526387816139,0.796522488532211,0.19978629973661,2.30137538290905,2,1.99562985239667,1.89270712637347,0.0345880899032168,1.85811903647025
0.00065,0.00029685216646475,0.866515572972209,0.199746473612184,2.28322507124737,2,1.99727202960676,1.89426460984395,0.0353559905441256,1.85890861929982
0.0007,0.000343677983390964,0.936516338524281,0.199703147833535,2.26502373252068,2,1.99829712331439,1.89523683531116,0.03612421749414,1.85911261781702
0.00075,0.000394003534698268,1.00651102614608,0.199656322016609,2.24677692590725,2,1.99893701595384,1.89584372609171,0.036892528750159,1.85895119734155
0.0008,0.000447828087275543,1.07649105154549,0.199605996465302,2.22848812723101,2,1.99933645513388,1.89622256457305,0.0376607732963042,1.85856179127674
0.00085,0.000505150640308281,1.14645106065477,0.199552171912724,2.21015951182456,2,1.99958579642756,1.89645904632486,0.0384288569134879,1.85803018941137
0.0009,0.000565970026098392,1.21638771580222,0.199494849359692,2.19179244321446,2,1.99974144235277,1.89660666495838,0.0391967208367741,1.8574099441216
0.00095,0.000630284972998694,1.28629893800604,0.199434029973902,2.1733877781726,2,1.99983860096486,1.89669881270676,0.0399643284326959,1.85673448427406
0.001,0.000698094144698322,1.35618343399256,0.199369715027001,2.15494605713782,2,1.9998992501331,1.89675633395139,0.040731656882858,1.85602467706853
0.00105,0.000769396164745706,1.42604040094768,0.199301905855302,2.13646762308258,2,1.9999371090684,1.89679224034783,0.0414986919926058,1.85529354835523
0.0011,0.000844189631856416,1.49586934221419,0.199230603835254,2.11795269571289,2,1.99996074169227,1.89681465414144,0.0422654249504481,1.85454922919099
0.00115,0.000922473129468661,1.5656699522449,0.199155810368144,2.09940141778601,2,1.99997549384806,1.89682864546872,0.0430318503051972,1.85379679516352
